City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Ambilobe,MG,2020-10-18 04:32:11,-13.2,49.05,82.58,50,0,4.09
167,Christchurch,NZ,2020-10-18 04:28:35,-43.53,172.63,60.01,71,100,12.75
168,Sept-Iles,CA,2020-10-18 04:27:30,50.2,-66.38,42.8,87,90,17.22
169,Hobbs,US,2020-10-18 04:32:11,32.7,-103.14,69.01,20,20,10.29
170,Coquimbo,CL,2020-10-18 04:32:11,-29.95,-71.34,51.8,100,0,4.0
171,Le Port,RE,2020-10-18 04:32:12,-20.94,55.29,78.8,61,16,10.29
172,Severo-Kurilsk,RU,2020-10-18 04:32:12,50.68,156.12,48.45,65,40,12.21
173,Tromso,NO,2020-10-18 04:32:12,69.65,18.96,35.6,80,75,16.11
174,Leh,IN,2020-10-18 04:32:12,34.17,77.58,46.38,38,0,4.65
175,Qaanaaq,GL,2020-10-18 04:32:12,77.48,-69.36,35.38,84,99,7.87
176,Upernavik,GL,2020-10-18 04:32:13,72.79,-56.15,35.31,91,100,21.34
177,Zdunska Wola,PL,2020-10-18 04:32:13,51.6,18.94,41.0,95,58,1.99
178,Cherkasskoye,RU,2020-10-18 04:32:13,52.43,47.22,44.33,57,99,15.32
179,Kambove,CD,2020-10-18 04:32:13,-10.88,26.6,65.59,65,1,7.54
180,Sitka,US,2020-10-18 04:32:13,57.05,-135.33,42.8,48,75,12.75
181,Olafsvik,IS,2020-10-18 04:32:14,64.89,-23.71,45.23,83,100,25.46
182,Cape Coast,GH,2020-10-18 04:32:14,5.11,-1.25,76.55,89,97,5.75
183,Douglas,US,2020-10-18 04:32:00,41.3,-96.17,45.0,75,90,16.11
184,Thompson,CA,2020-10-18 04:32:14,55.74,-97.86,26.6,100,90,1.83
185,Souillac,MU,2020-10-18 04:32:15,-20.52,57.52,77.0,65,40,9.17
186,Broome,US,2020-10-18 04:32:15,42.25,-75.83,41.0,56,1,6.93
187,Rocha,UY,2020-10-18 04:32:15,-34.48,-54.33,62.17,79,86,8.19
188,Ust-Kulom,RU,2020-10-18 04:32:16,61.69,53.69,31.06,94,22,8.66
189,Narsaq,GL,2020-10-18 04:32:16,60.92,-46.05,35.6,80,41,3.36
190,Solginskiy,RU,2020-10-18 04:32:16,61.05,41.34,33.84,91,97,8.61
191,Puerto Carreno,CO,2020-10-18 04:32:16,6.19,-67.49,77.16,84,100,3.36
192,Jalu,LY,2020-10-18 04:32:16,29.03,21.55,76.57,25,0,11.74
193,Butaritari,KI,2020-10-18 04:32:17,3.07,172.79,82.26,77,16,19.01
194,Itarema,BR,2020-10-18 04:32:17,-2.92,-39.92,79.57,75,99,17.02
195,Mangrol,IN,2020-10-18 04:28:09,21.12,70.12,85.24,76,66,16.46
196,Mineros,BO,2020-10-18 04:32:18,-17.12,-63.23,77.0,73,20,5.82
197,Usinsk,RU,2020-10-18 04:32:18,65.99,57.53,28.51,97,55,13.56
198,Port Hardy,CA,2020-10-18 04:30:04,50.7,-127.42,46.4,100,90,17.22
199,Lompoc,US,2020-10-18 04:32:18,34.64,-120.46,61.0,93,1,4.9
200,Maarianhamina,AX,2020-10-18 04:32:19,60.1,19.93,41.0,75,75,6.93
201,Coihueco,CL,2020-10-18 04:32:19,-36.62,-71.83,42.8,100,6,2.24
202,Bilma,NE,2020-10-18 04:32:19,18.69,12.92,77.5,18,0,4.7
