City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
347,Nouadhibou,MR,75.2,clear sky,20.93,-17.03,El Medina
349,Hwange,ZW,93.0,clear sky,-18.37,26.5,Hwange Colliery Guest House
351,Zhanaozen,KZ,73.51,clear sky,43.3,52.8,K.korabay 28A
352,Ixtapa,MX,82.0,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
358,Prado,BR,71.96,overcast clouds,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
361,Tautira,PF,77.0,few clouds,-17.73,-149.15,Pension Oaoa
362,Padang,ID,86.83,scattered clouds,-0.95,100.35,Mercure Padang
363,Niono,ML,87.84,clear sky,14.25,-5.99,Hôtel Campement
364,Ensley,US,72.0,clear sky,30.52,-87.27,Holiday Inn Express & Suites Pensacola W I-10
366,Moroni,KM,86.0,scattered clouds,-11.7,43.26,Hotel les Arcades
367,Aguimes,ES,70.0,few clouds,27.91,-15.45,Hotel Villa de Aguimes
368,Zhuhai,CN,82.4,few clouds,22.28,113.57,珠海粤财假日酒店
370,Chitral,PK,70.84,clear sky,35.85,71.79,PTDC Motel Chitral
371,Kismayo,SO,83.44,clear sky,-0.36,42.55,Agan-Hotel
372,San Policarpo,PH,79.86,moderate rain,12.18,125.51,Zal-Ann Beach Resort
374,Hambantota,LK,93.2,scattered clouds,6.12,81.12,Bungalow 63
375,Banikoara,BJ,82.81,clear sky,11.3,2.44,Hôtel de l'UCom CVPC
376,Susehri,TR,72.5,clear sky,40.16,38.09,Su Vadi Hotel
379,Kiunga,PG,82.18,light rain,-6.12,141.29,Airport Lodge Kiunga
380,Rudsar,IR,71.6,clear sky,37.14,50.29,Hotel Bahar
381,Tura,IN,85.66,clear sky,25.52,90.22,Hotel RIKMAN Continental
383,Mardin,TR,78.8,clear sky,37.31,40.74,Reyhani Kasri Hotel
388,Boca Do Acre,BR,72.23,light rain,-8.75,-67.4,Hotel Linhares
389,Pandan,PH,81.99,moderate rain,14.05,124.17,Bonifacio Lodge
393,Acapulco,MX,79.52,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
396,Pathein,MM,82.29,moderate rain,16.78,94.73,Pathein Hotel
397,Abu Zabad,SD,87.8,clear sky,12.35,29.25,محي الدين نوري
402,San Miguel,SV,72.99,overcast clouds,13.48,-88.18,Excalibur
406,Saint-Joseph,RE,82.4,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
410,Batticaloa,LK,87.75,broken clouds,7.71,81.69,Grand Star Guest House
411,Atar,MR,84.22,overcast clouds,20.52,-13.05,Oumou Elghoura
412,Kirakira,SB,80.6,moderate rain,-10.45,161.92,SanBiz Lodge
414,Bandundu,CD,81.48,overcast clouds,-3.32,17.37,Coja Color
415,Esperance,AU,75.2,clear sky,-33.87,121.9,Hospitality Esperance
416,Sulphur,US,75.0,mist,30.24,-93.38,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
421,Ambon,ID,81.36,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
423,Chipinge,ZW,85.05,clear sky,-20.19,32.62,Mutare Club
426,Mercedes,AR,73.0,clear sky,-34.65,-59.43,Posada del Inti Centro
432,Sabang,ID,84.0,very heavy rain,5.89,95.32,Hotel Citra
433,Tiarei,PF,77.0,few clouds,-17.53,-149.33,Le Rocher de Tahiti
434,Amuntai,ID,81.07,overcast clouds,-2.42,115.25,Hotel Balqis
436,Tamandare,BR,74.16,broken clouds,-8.76,-35.1,Pousada 100 Passos
439,Bitung,ID,87.8,scattered clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
441,Rodrigues Alves,BR,71.74,broken clouds,-7.74,-72.65,Pousada Aconchego
445,Yambio,SS,79.32,moderate rain,4.57,28.4,Kabash Inn
455,Witu,KE,86.52,scattered clouds,-2.39,40.44,New City Guest House
456,San Quintin,MX,70.38,overcast clouds,30.48,-115.95,Old Mill Hotel
457,Alice,US,75.2,mist,27.75,-98.07,Holiday Inn Express & Suites Alice
459,Akyab,MM,86.25,moderate rain,20.15,92.9,Hotel Memory
460,Los Llanos De Aridane,ES,78.8,light intensity drizzle,28.66,-17.92,Valle Aridane
461,Odweyne,SO,83.5,clear sky,9.41,45.06,Eng Hiirey House
462,Najran,SA,78.8,clear sky,17.49,44.13,محمد هادي ال فطيح
471,Ugoofaaru,MV,82.4,overcast clouds,5.67,73.0,Ungoofaaru Inn
472,Nabire,ID,79.2,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
476,Sao Felix Do Xingu,BR,71.46,overcast clouds,-6.64,-51.99,Apart Hotel Rio Xingu
479,Kununurra,AU,98.6,overcast clouds,-15.77,128.73,Hotel Kununurra
480,Tevaitoa,PF,80.02,few clouds,-16.78,-151.5,Hôtel Raiatea Lodge
487,Cayenne,GF,75.2,broken clouds,4.93,-52.33,Hôtel Le Dronmi
488,Luancheng,CN,71.6,haze,37.88,114.65,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
490,Cabedelo,BR,71.6,few clouds,-6.98,-34.83,Lua Mansa Pousada
492,Bowen,AU,84.2,clear sky,-20.02,148.23,Castle Motor Lodge Motel
496,Caravelas,BR,72.36,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
499,Sulangan,PH,82.04,light rain,11.14,123.72,Maia's Beach Resort
500,Matara,LK,86.31,overcast clouds,5.95,80.54,Amaloh Boutique Resort
502,Sinnamary,GF,79.39,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
503,Noumea,NC,77.0,broken clouds,-22.28,166.46,Hôtel Le Lagon
504,Rantepao,ID,74.64,moderate rain,-2.97,119.9,Hotel Luta Resort
505,Lazaro Cardenas,MX,78.06,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
507,Gizo,SB,84.04,light rain,-8.1,156.84,Imagination Island
510,Rock Sound,BS,80.87,moderate rain,24.9,-76.2,Rock Sound Club
514,Kimbe,PG,79.97,light rain,-5.55,150.14,Kimbe Bay Hotel
517,Karachi,PK,96.8,haze,24.91,67.08,Hillside Homes
518,Kita,ML,78.98,clear sky,13.03,-9.49,Hôtel Nelson Mandela
520,Aborlan,PH,86.0,overcast clouds,9.44,118.55,Kevina Transient House
521,Jalingo,NG,81.25,clear sky,8.88,11.37,Debright Motel
526,Boa Vista,BR,80.6,broken clouds,2.82,-60.67,Aipana Plaza Hotel
527,Unnao,IN,91.4,haze,26.53,80.5,Fantasy Motels
530,The Valley,AI,79.0,clear sky,18.22,-63.06,CeBlue Villas & Beach Resort
532,Salalah,OM,96.8,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
536,Kahului,US,80.6,clear sky,20.89,-156.47,Maui Seaside Hotel
537,Bouna,CI,76.21,scattered clouds,9.27,-3.0,Hotel Reserve
539,Pamanukan,ID,87.84,moderate rain,-6.28,107.81,Paris Day Hotel Pamanukan
540,Belmonte,BR,71.6,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
544,Alice Springs,AU,73.4,scattered clouds,-23.7,133.88,Desert Palms Alice Springs
545,Langsa,ID,86.11,light rain,4.47,97.97,OYO 2964 Hotel Ridho
546,Mildura,AU,71.01,clear sky,-34.2,142.15,Mercure Hotel Mildura
550,Placido De Castro,BR,75.63,light rain,-10.34,-67.19,Hotel Califórnia
554,Mendoza,AR,71.6,clear sky,-32.89,-68.83,Hotel Mendoza
557,Shache,CN,71.74,clear sky,38.42,77.24,Delong Hotel
558,Sawakin,SD,91.22,clear sky,19.11,37.33,فندق الدويم
564,Estacion Coahuila,MX,78.8,clear sky,32.19,-115.0,carroceria y pintura Kikones
565,Inongo,CD,76.8,light rain,-1.95,18.27,Hotel Du Lac
566,Kampot,KH,86.0,few clouds,10.62,104.18,Champa Lodge
569,Turan,VN,80.6,light rain,16.07,108.22,Grand Mercure Danang
570,Meulaboh,ID,86.92,broken clouds,4.14,96.13,Kost Pria
572,Puerto Escondido,MX,78.03,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
573,Porbandar,IN,89.6,scattered clouds,21.64,69.61,Lords Inn Porbandar
574,Wukari,NG,79.81,broken clouds,7.85,9.78,Elimtop
575,Pitimbu,BR,71.6,few clouds,-7.47,-34.81,Reserva do Abiaí
580,Kamwenge,UG,71.37,overcast clouds,0.19,30.45,Mariana Tourist Hotel
582,Ambovombe,MG,82.81,clear sky,-25.17,46.08,MONJA Talilisoa
583,Port Keats,AU,86.45,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
584,Jaguaruana,BR,73.02,broken clouds,-4.83,-37.78,Pousada Popular
592,Teacapan,MX,81.34,broken clouds,22.55,-105.75,Hotel los Mangos
596,Manaure,CO,80.26,light rain,11.78,-72.44,Del mar vendra
598,Saint-Paul,RE,82.4,scattered clouds,-21.01,55.27,Boucan Canot
601,Payo,ID,84.87,light rain,-3.75,103.64,Mess keban agung
603,Bairiki,KI,81.84,few clouds,1.33,172.98,Tarawa Boutique Hotel
608,Caucaia,BR,80.01,broken clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
609,Augusto Correa,BR,76.86,clear sky,-1.02,-46.63,Fazenda Bacuri
613,Talavera,PH,89.6,broken clouds,15.62,120.93,R&G's Resort
617,Bandarbeyla,SO,85.82,clear sky,9.49,50.81,REER XOOSHLE GROUP
618,Bhasawar,IN,95.85,clear sky,27.03,77.03,Jagdish Tiwari janral stor
620,Acarau,BR,79.27,broken clouds,-2.89,-40.12,castelo pizzaria
626,Kindu,CD,85.23,overcast clouds,-2.95,25.95,Hotel Karibu
629,Morondava,MG,84.16,clear sky,-20.28,44.28,La Case Bambou
630,Kontagora,NG,80.6,clear sky,10.4,5.47,City Gate Inn
631,Farafangana,MG,74.16,overcast clouds,-22.82,47.83,Austral Hotel
635,Ciudad Bolivar,VE,76.64,few clouds,8.12,-63.55,Hotel Edi
640,Ambunti,PG,82.17,overcast clouds,-4.24,142.84,Ambunti Lodge
645,Hobyo,SO,84.94,scattered clouds,5.35,48.53,Osmani Hotel
646,Carutapera,BR,77.81,few clouds,-1.2,-46.02,Lidera
649,Itacare,BR,70.77,broken clouds,-14.28,-39.0,Ecoporan Hotel Charme Spa & Eventos
654,Prieska,ZA,86.54,clear sky,-29.66,22.75,Avenue GuestHouse
656,Aswan,EG,98.44,clear sky,24.09,32.91,Nuba Nile
662,Sangmelima,CM,73.49,overcast clouds,2.93,11.98,gamestar hotel
665,Libreville,GA,80.6,few clouds,0.39,9.45,Hotel Re-Ndama
667,Clemencia,CO,71.6,scattered clouds,10.57,-75.33,URBANIZACION SAN JOSE
669,Nyimba,ZM,93.54,clear sky,-14.56,30.81,Dali Dali Lodge
670,Koulamoutou,GA,75.34,overcast clouds,-1.13,12.47,Motel Biki
672,Namatanai,PG,81.55,few clouds,-3.67,152.43,Namatanai Hotel
673,Manokwari,ID,80.37,light rain,-0.87,134.08,Swiss Belhotel Manokwari
675,Mahanoro,MG,77.29,light rain,-19.9,48.8,Hôtel Mon Désir
677,Bulawayo,ZW,88.25,clear sky,-20.15,28.58,4 On Housman Backpackers
681,Presidente Dutra,BR,73.11,few clouds,-5.29,-44.49,Pousada Planalto
682,Tabou,CI,78.17,light rain,4.42,-7.35,hotêl doufoulougou
